drone image name,file name,length of matching,score of matching,error distance,time of processing
22,30_eH2hsV,116,36951.31621,267.9790644,1.993321657
9,19_4VNhNR,128,41027.73059,435.2475435,1.989626169
11,20_eH2pdV,126,40199.26414,436.8484482,1.987559795
15,24_LZnkpi,129,41741.26271,333.1971932,1.985179424
14,23_b75gaN,132,41621.48436,404.1677757,1.981953144
12,21_5wDz6I,126,40084.49866,369.3873723,1.980603933
16,25_3POBgu,127,41123.64732,347.6649654,1.969730616
17,26_YlvrXY,128,41245.1913,371.2975505,1.967638493
13,22_46LsYn,127,40185.98596,386.320019,1.962862968
18,27_6Oi1x2,119,38341.36624,305.1471862,1.961504698
20,29_Ih5oLR,124,40150.33647,341.955586,1.960293531
8,18_26bPIl,129,40823.18974,412.2489497,1.959240675
21,2_6qTgqL,117,38105.10632,605.1321264,1.957442045
19,28_IlEYwK,118,38230.6851,316.1146161,1.954852819
10,1_oBK4Kj,117,37973.55991,634.2392086,1.928706884
7,17_JMFshs,117,36732.36717,474.0672471,1.803040743
6,16_IVh1MU,115,36132.38737,463.1991999,1.793880224
2,12_EzaSzn,112,34807.45805,482.6590303,1.785170794
4,14_z9YBU1,114,35758.66893,518.7081751,1.78243351
0,10_lIC11X,107,33462.79283,536.67682,1.781866312
5,15_ywjA7L,131,41412.45232,453.5986665,1.78131032
1,11_q2Syp2,111,35161.74298,556.8659566,1.781033278
3,13_NTftM5,123,38666.17493,500.8487254,1.761350393
